month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment,year,day,quarters,Time Period,Fare Evasion
06,Bronx,2,Local,BX22,Peak,"1,997","2,780",71.834534%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX23,Off-Peak,"3,320","4,040",82.17822%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX23,Peak,"2,521","3,549",71.03409%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX23,Off-Peak,"1,147","1,491",76.928234%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX23,Peak,473,587,80.579215%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX24,Off-Peak,"1,683","2,120",79.386795%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX24,Peak,504,732,68.85246%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX24,Off-Peak,930,"1,098",84.69945%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX24,Peak,337,396,85.10101%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX26,Off-Peak,"9,839","12,554",78.373426%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX26,Peak,"5,342","7,417",72.02373%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX26,Off-Peak,"3,296","4,008",82.23553%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX26,Peak,"1,575","1,864",84.495705%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX27,Off-Peak,"8,767","11,004",79.67103%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX27,Peak,"5,300","7,470",70.950466%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX27,Off-Peak,"2,934","3,873",75.755227%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX27,Peak,"1,433","1,754",81.69897%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX28,Off-Peak,"8,760","11,232",77.991456%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX28,Peak,"2,916","4,403",66.227573%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX28,Off-Peak,"3,576","4,417",80.95993%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX28,Peak,"1,299","1,571",82.686186%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX29,Off-Peak,"2,079","2,609",79.685706%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX29,Peak,"1,023","1,423",71.89037%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX29,Off-Peak,"1,137","1,465",77.61092%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX29,Peak,390,497,78.470826%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX3,Off-Peak,"9,784","15,303",63.93518%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX3,Peak,"3,937","6,956",56.59862%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX3,Off-Peak,"4,401","6,186",71.14452%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX3,Peak,"1,718","2,434",70.583403%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX30,Off-Peak,"9,045","12,945",69.87254%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX30,Peak,"4,957","7,943",62.407154%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX30,Off-Peak,"2,902","4,228",68.63765%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX30,Peak,"1,370","1,906",71.87828%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX31,Off-Peak,"6,558","8,330",78.72749%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX31,Peak,"2,817","4,098",68.74085%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX31,Off-Peak,"2,081","2,681",77.62029%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX31,Peak,750,978,76.687115%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX32,Off-Peak,"4,757","6,721",70.778155%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX32,Peak,"2,498","4,215",59.26453%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX32,Off-Peak,"1,280","1,762",72.64472%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX32,Peak,616,816,75.490195%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX33,Off-Peak,"4,241","5,325",79.64319%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX33,Peak,"1,614","2,735",59.012794%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX33,Off-Peak,"1,085","1,519",71.428573%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX33,Peak,555,683,81.25915%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX34,Off-Peak,"5,333","7,145",74.639606%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX34,Peak,"2,053","3,288",62.439173%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX34,Off-Peak,"1,989","2,508",79.30622%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX34,Peak,877,"1,016",86.3189%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX35,Off-Peak,"18,474","23,968",77.07777%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX35,Peak,"7,990","12,077",66.158813%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX35,Off-Peak,"7,239","9,624",75.218207%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX35,Peak,"2,780","3,724",74.650913%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX36,Off-Peak,"21,731","33,209",65.43708%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX36,Peak,"10,171","19,125",53.1817%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX36,Off-Peak,"7,750","12,657",61.23094%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX36,Peak,"2,938","4,625",63.524324%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX38,Off-Peak,"4,433","6,207",71.419364%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX38,Peak,"2,071","3,500",59.171426%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX38,Off-Peak,"1,851","2,634",70.273346%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX38,Peak,786,"1,080",72.77778%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX39,Off-Peak,"13,111","18,224",71.943593%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX39,Peak,"6,266","9,633",65.047234%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX39,Off-Peak,"5,551","7,895",70.310324%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX39,Peak,"2,119","3,064",69.157964%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX4,Off-Peak,"5,075","7,430",68.304175%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX4,Peak,"2,015","3,363",59.91674%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX4,Off-Peak,"2,244","3,339",67.20575%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX4,Peak,759,"1,120",67.76786%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX40,Off-Peak,"9,846","12,983",75.837636%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX40,Peak,"3,454","5,085",67.92527%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX40,Off-Peak,"3,834","5,275",72.682464%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX40,Peak,"1,200","1,646",72.90401%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX41,Off-Peak,"9,748","13,550",71.94096%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX41,Peak,"2,874","4,844",59.33113%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX41,Off-Peak,"4,857","6,408",75.79588%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX41,Peak,"1,851","2,237",82.74475%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX42,Off-Peak,"10,862","15,359",70.72075%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX42,Peak,"4,193","6,124",68.46832%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX42,Off-Peak,"3,880","5,504",70.494187%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX42,Peak,"1,410","2,049",68.81406%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX46,Off-Peak,856,926,92.440605%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX46,Peak,305,346,88.150287%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX46,Off-Peak,379,404,93.81188%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX46,Peak,113,119,94.957983%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX4A,Off-Peak,"4,010","6,137",65.34137%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX4A,Peak,"2,091","3,386",61.75428%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX4A,Off-Peak,"1,559","2,245",69.44321%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX4A,Peak,749,"1,071",69.93464%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX5,Off-Peak,"10,489","13,948",75.20075%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX5,Peak,"4,962","7,667",64.718926%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX5,Off-Peak,"5,578","7,728",72.17909%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX5,Peak,"1,958","2,822",69.38342%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX6,Off-Peak,"11,852","15,512",76.405364%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX6,Peak,"4,181","6,252",66.8746%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX6,Off-Peak,"4,276","6,285",68.035007%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX6,Peak,"1,529","2,113",72.36157%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX7,Off-Peak,"14,537","18,473",78.69323%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX7,Peak,"6,341","8,853",71.625435%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX7,Off-Peak,"5,315","8,012",66.33799%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX7,Peak,"2,150","3,019",71.215636%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX8,Off-Peak,"11,383","13,834",82.28278%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX8,Peak,"6,141","8,283",74.139804%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX8,Off-Peak,"2,650","3,371",78.61169%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX8,Peak,"1,249","1,507",82.879895%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX9,Off-Peak,"16,096","20,603",78.124547%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,BX9,Peak,"7,294","10,598",68.82431%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX9,Off-Peak,"5,972","8,141",73.35708%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,BX9,Peak,"2,391","3,169",75.44967%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,Q50,Off-Peak,"4,821","6,036",79.87078%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,1,Local,Q50,Peak,"1,957","2,991",65.42962%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,Q50,Off-Peak,"1,384","1,907",72.57472%,2019,01,Q2,2019-Q2,27.9%
06,Bronx,2,Local,Q50,Peak,551,751,73.36884%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B1,Off-Peak,"11,794","14,995",78.65288%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B1,Peak,"5,358","7,333",73.066956%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B1,Off-Peak,"4,443","6,374",69.70505%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B1,Peak,"1,766","2,464",71.672076%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B100,Off-Peak,"4,164","4,652",89.509887%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B100,Peak,"2,839","3,885",73.07593%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B100,Off-Peak,951,"1,130",84.15929%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B100,Peak,459,490,93.67347%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B103,Off-Peak,"7,650","10,199",75.007355%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B103,Peak,"3,713","5,568",66.68463%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B103,Off-Peak,"2,683","3,556",75.449944%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B103,Peak,960,"1,294",74.18856%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B11,Off-Peak,"9,808","13,504",72.630334%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B11,Peak,"4,331","6,681",64.825624%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B11,Off-Peak,"3,518","4,954",71.013325%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B11,Peak,"1,280","1,759",72.768617%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B12,Off-Peak,"10,778","15,655",68.84701%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B12,Peak,"4,065","6,714",60.54513%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B12,Off-Peak,"4,226","6,080",69.50658%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B12,Peak,"1,435","2,112",67.945075%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B13,Off-Peak,"10,245","12,695",80.701065%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B13,Peak,"4,780","6,813",70.15999%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B13,Off-Peak,"3,759","4,691",80.13217%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B13,Peak,"1,341","1,643",81.61899%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B14,Off-Peak,"8,070","10,965",73.59781%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B14,Peak,"3,135","5,109",61.3623%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B14,Off-Peak,"2,956","4,096",72.16797%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B14,Peak,"1,091","1,557",70.07065%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B15,Off-Peak,"21,087","30,351",69.47712%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B15,Peak,"6,261","10,371",60.37026%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B15,Off-Peak,"9,692","14,268",67.92823%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B15,Peak,"2,754","4,287",64.24073%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B16,Off-Peak,"8,905","12,784",69.657385%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B16,Peak,"4,263","7,351",57.99211%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B16,Off-Peak,"3,641","5,785",62.938637%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B16,Peak,"1,398","2,231",62.66248%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B17,Off-Peak,"10,098","12,519",80.66139%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B17,Peak,"4,180","6,094",68.59206%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B17,Off-Peak,"4,155","5,542",74.972934%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B17,Peak,"1,503","2,003",75.037444%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B2,Off-Peak,"2,775","3,065",90.538335%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B2,Peak,"1,172","1,565",74.88818%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B2,Off-Peak,"1,099","1,487",73.907197%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B2,Peak,353,541,65.24954%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B20,Off-Peak,"12,962","16,711",77.565676%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B20,Peak,"5,383","8,034",67.00274%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B20,Off-Peak,"4,113","6,046",68.02845%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B20,Peak,"1,505","2,226",67.61006%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B24,Off-Peak,"3,145","4,523",69.5335%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B24,Peak,"1,179","2,060",57.23301%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B24,Off-Peak,"1,509","2,097",71.95994%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B24,Peak,604,769,78.54356%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B25,Off-Peak,"9,364","14,221",65.84628%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B25,Peak,"3,503","5,810",60.2926%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B25,Off-Peak,"3,776","5,845",64.602226%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B25,Peak,"1,307","2,100",62.2381%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B26,Off-Peak,"10,682","13,754",77.66468%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B26,Peak,"4,621","6,472",71.399873%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B26,Off-Peak,"4,520","6,449",70.088387%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B26,Peak,"1,771","2,392",74.038464%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B3,Off-Peak,"14,183","18,394",77.106667%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B3,Peak,"6,221","8,751",71.08902%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B3,Off-Peak,"6,482","8,070",80.32218%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B3,Peak,"2,747","3,280",83.75%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B31,Off-Peak,"2,986","3,299",90.512276%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B31,Peak,"1,502","1,735",86.5706%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B31,Off-Peak,"1,408","1,711",82.29106%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B31,Peak,492,578,85.12111%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B32,Off-Peak,781,"1,319",59.21152%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B32,Peak,386,792,48.737374%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B32,Off-Peak,431,665,64.81203%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B32,Peak,252,368,68.47826%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B35,Off-Peak,"14,373","22,253",64.58904%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B35,Peak,"4,595","8,347",55.04972%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B35,Off-Peak,"6,779","11,176",60.65676%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B35,Peak,"2,219","3,608",61.50222%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B36,Off-Peak,"7,089","8,934",79.34856%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B36,Peak,"3,675","5,100",72.05882%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B36,Off-Peak,"2,167","2,900",74.72414%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B36,Peak,803,"1,051",76.40343%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B37,Off-Peak,"3,508","5,282",66.41424%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B37,Peak,"1,364","2,262",60.30062%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B37,Off-Peak,"1,320","2,151",61.36681%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B37,Peak,456,772,59.067357%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B38,Off-Peak,"19,787","26,368",75.04172%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B38,Peak,"9,107","13,760",66.18459%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B38,Off-Peak,"6,930","9,745",71.11339%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B38,Peak,"2,523","3,634",69.42763%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B4,Off-Peak,"6,764","9,020",74.988914%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B4,Peak,"3,104","4,836",64.18528%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B4,Off-Peak,"3,155","4,564",69.12796%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B4,Peak,"1,071","1,701",62.96296%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B41,Off-Peak,"21,726","30,748",70.658255%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B41,Peak,"8,698","13,971",62.257534%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B41,Off-Peak,"8,698","12,896",67.44727%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B41,Peak,"3,294","4,907",67.12859%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B43,Off-Peak,"11,175","16,033",69.699997%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B43,Peak,"4,351","7,047",61.742586%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B43,Off-Peak,"4,276","6,221",68.73493%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B43,Peak,"1,337","1,981",67.49117%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B44,Off-Peak,"16,014","21,355",74.98946%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B44,Peak,"5,121","7,763",65.96677%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B44,Off-Peak,"7,835","10,522",74.46303%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B44,Peak,"2,564","3,454",74.232775%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B45,Off-Peak,"6,727","9,927",67.76468%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B45,Peak,"2,904","4,603",63.08929%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B45,Off-Peak,"2,658","4,056",65.53255%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B45,Peak,"1,027","1,545",66.472495%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B46,Off-Peak,"22,524","31,408",71.71421%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B46,Peak,"6,910","11,050",62.53394%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B46,Off-Peak,"10,925","15,379",71.03843%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B46,Peak,"3,928","5,367",73.188%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B47,Off-Peak,"14,455","19,630",73.63729%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B47,Peak,"5,737","9,071",63.245505%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B47,Off-Peak,"6,080","8,706",69.836897%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B47,Peak,"2,053","2,963",69.287884%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B48,Off-Peak,"8,751","11,412",76.68244%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B48,Peak,"2,743","4,394",62.426037%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B48,Off-Peak,"3,759","5,152",72.961956%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B48,Peak,"1,127","1,559",72.28993%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B49,Off-Peak,"17,067","22,897",74.53815%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B49,Peak,"6,047","9,277",65.18271%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B49,Off-Peak,"5,331","8,061",66.133237%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B49,Peak,"1,884","2,859",65.897167%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B52,Off-Peak,"12,683","16,694",75.973403%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,1,Local,B52,Peak,"4,937","7,490",65.914553%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B52,Off-Peak,"4,720","6,891",68.495136%,2019,01,Q2,2019-Q2,27.9%
06,Brooklyn,2,Local,B52,Peak,"1,644","2,426",67.76587%,2019,01,Q2,2019-Q2,27.9%
