month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment,year,day,quarters,Time Period,Fare Evasion
01,Manhattan,2,Local,M14D,Peak,"2,472","4,128",59.88372%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M15,Off-Peak,"28,154","36,266",77.631944%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M15,Peak,"7,878","11,929",66.04074%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M15,Off-Peak,"11,393","14,618",77.93816%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M15,Peak,"3,493","4,589",76.1168%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M2,Off-Peak,"8,794","11,466",76.69632%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M2,Peak,"3,539","5,159",68.59857%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M2,Off-Peak,"3,710","4,766",77.84305%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M2,Peak,"1,349","1,765",76.430595%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M20,Off-Peak,"7,058","8,573",82.32824%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M20,Peak,"2,338","3,299",70.86996%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M20,Off-Peak,"3,279","4,099",79.99512%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M20,Peak,"1,087","1,398",77.75393%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M21,Off-Peak,"4,189","4,787",87.50783%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M21,Peak,"2,131","2,864",74.40643%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M21,Off-Peak,"1,731","1,909",90.67575%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M21,Peak,776,890,87.19101%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M22,Off-Peak,"3,448","4,237",81.378335%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M22,Peak,"1,456","2,403",60.59093%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M22,Off-Peak,"1,286","1,587",81.033397%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M22,Peak,599,746,80.29491%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M3,Off-Peak,"11,526","14,199",81.17473%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M3,Peak,"4,089","5,857",69.813895%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M3,Off-Peak,"4,258","5,710",74.57093%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M3,Peak,"1,833","2,525",72.59406%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M31,Off-Peak,"11,548","14,224",81.186724%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M31,Peak,"4,759","6,737",70.639753%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M31,Off-Peak,"3,907","4,745",82.339305%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M31,Peak,"1,553","1,872",82.9594%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M35,Off-Peak,"1,491","2,244",66.44385%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M35,Peak,440,926,47.5162%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M35,Off-Peak,494,828,59.661835%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M35,Peak,205,340,60.294116%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M4,Off-Peak,"16,182","23,570",68.65507%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M4,Peak,"7,023","11,908",58.977157%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M4,Off-Peak,"5,177","7,666",67.53196%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M4,Peak,"2,139","3,202",66.802%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M42,Off-Peak,"8,716","10,111",86.203146%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M42,Peak,"4,322","5,734",75.374955%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M42,Off-Peak,"2,801","3,553",78.83479%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M42,Peak,"1,052","1,358",77.466863%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M5,Off-Peak,"12,536","16,546",75.764537%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M5,Peak,"4,111","6,550",62.76336%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M5,Off-Peak,"5,110","6,536",78.182375%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M5,Peak,"2,071","2,565",80.74074%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M50,Off-Peak,"5,243","5,752",91.150904%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M50,Peak,"2,146","2,864",74.93017%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M50,Off-Peak,"1,215","1,564",77.68542%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M50,Peak,508,659,77.086496%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M55,Off-Peak,"6,521","7,967",81.85013%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M55,Peak,"2,078","2,880",72.152776%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M55,Off-Peak,"2,966","3,466",85.57415%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M55,Peak,"1,181","1,361",86.77443%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M57,Off-Peak,"6,907","8,458",81.662333%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M57,Peak,"3,136","4,511",69.518954%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M57,Off-Peak,"2,738","3,283",83.39933%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M57,Peak,"1,198","1,377",87.00073%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M66,Off-Peak,"6,665","8,307",80.23354%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M66,Peak,"3,758","5,438",69.106287%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M66,Off-Peak,"2,234","2,923",76.42833%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M66,Peak,911,"1,169",77.929854%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M7,Off-Peak,"19,644","25,206",77.933824%,2019,01,Q1,2019-Q1,25%
